"Date","month","year","Close"
1990-07-30,7,1990,347.44
1990-08-30,8,1990,400.06
1990-09-27,9,1990,439.72
1990-10-31,10,1990,403.66
1990-11-30,11,1990,367.69
1990-12-24,12,1990,330.86
1991-01-31,1,1991,314.36
1991-02-28,2,1991,379.94
1991-03-27,3,1991,366.45
1991-04-30,4,1991,389.01
1991-05-31,5,1991,403.18
1991-06-28,6,1991,391.96
1991-07-31,7,1991,498.71
1991-08-30,8,1991,531.97
1991-09-30,9,1991,553.79
1991-10-31,10,1991,554.4
1991-11-29,11,1991,563.17
1991-12-24,12,1991,558.63
1992-01-31,1,1992,684.93
1992-02-29,2,1992,889.3
1992-03-31,3,1992,1261.6
1992-04-30,4,1992,1105.5
1992-05-29,5,1992,826.16
1992-06-26,6,1992,855.84
1992-07-31,7,1992,767.94
1992-08-28,8,1992,850.86
1992-09-30,9,1992,938.14
1992-10-30,10,1992,809.87
1992-11-30,11,1992,726.38
1992-12-24,12,1992,761.31
1993-01-29,1,1993,785.28
1993-02-27,2,1993,774.18
1993-03-31,3,1993,660.51
1993-04-30,4,1993,622.42
1993-05-31,5,1993,656.16
1993-06-30,6,1993,667.5
1993-07-30,7,1993,706.83
1993-08-30,8,1993,799.65
1993-09-30,9,1993,827.13
1993-10-29,10,1993,817.18
1993-11-26,11,1993,988.88
1993-12-24,12,1993,1042.5
1994-01-31,1,1994,1246.5
1994-02-28,2,1994,1349.4
1994-03-31,3,1994,1177.1
1994-04-29,4,1994,1150.6
1994-05-31,5,1994,1187.1
1994-06-30,6,1994,1249.4
1994-07-29,7,1994,1278.5
1994-08-31,8,1994,1373.2
1994-09-30,9,1994,1290.5
1994-10-31,10,1994,1267.2
1994-11-30,11,1994,1245.7
1994-12-23,12,1994,1182.2
1995-01-31,1,1995,1071.2
1995-02-28,2,1995,1014.7
1995-03-31,3,1995,990.24
1995-04-28,4,1995,941.83
1995-05-31,5,1995,997.4
1995-06-30,6,1995,961.23
1995-07-31,7,1995,994.25
1995-08-31,8,1995,971.74
1995-09-29,9,1995,1011.9
1995-10-31,10,1995,988.26
1995-11-30,11,1995,862.1
1995-12-29,12,1995,908.53
1996-01-31,1,1996,848.42
1996-02-29,2,1996,992.51
1996-03-29,3,1996,985.3
1996-04-30,4,1996,1114.36
1996-05-31,5,1996,1089.92
1996-06-28,6,1996,1122
1996-07-31,7,1996,1042.81
1996-08-30,8,1996,1029
1996-09-30,9,1996,943.96
1996-10-31,10,1996,909.29
1996-11-29,11,1996,830.32
1996-12-31,12,1996,899.1
1997-01-31,1,1997,972.65
1997-02-28,2,1997,998.65
1997-03-31,3,1997,968.3
1997-04-30,4,1997,1079.85
1997-05-30,5,1997,1050.9
1997-06-30,6,1997,1192.4
1997-07-31,7,1997,1221.5
1997-08-29,8,1997,1105
1997-09-30,9,1997,1123.8
1997-10-30,10,1997,1085.25
1997-11-28,11,1997,1023.95
1997-12-31,12,1997,1079.4
1998-01-30,1,1998,963.45
1998-02-27,2,1998,1060.75
1998-03-31,3,1998,1116.9
1998-04-30,4,1998,1159.35
1998-05-29,5,1998,1063.15
1998-06-30,6,1998,941.65
1998-07-31,7,1998,931.4
1998-08-31,8,1998,852.8
1998-09-30,9,1998,904.95
1998-10-31,10,1998,824
1998-11-30,11,1998,817.75
1998-12-31,12,1998,884.25
1999-01-29,1,1999,966.2
1999-02-27,2,1999,981.3
1999-03-31,3,1999,1078.05
1999-04-30,4,1999,978.2
1999-05-31,5,1999,1132.3
1999-06-30,6,1999,1187.7
1999-07-30,7,1999,1310.15
1999-08-31,8,1999,1412
1999-09-30,9,1999,1413.1
1999-10-29,10,1999,1325.45
1999-11-30,11,1999,1376.15
1999-12-30,12,1999,1480.45
2000-01-31,1,2000,1546.2
2000-02-29,2,2000,1654.8
2000-03-31,3,2000,1528.45
2000-04-28,4,2000,1406.55
2000-05-31,5,2000,1380.45
2000-06-30,6,2000,1471.45
2000-07-31,7,2000,1332.85
2000-08-31,8,2000,1394.1
2000-09-29,9,2000,1271.65
2000-10-31,10,2000,1172.75
2000-11-30,11,2000,1268.15
2000-12-29,12,2000,1263.55
2001-01-31,1,2001,1371.7
2001-02-28,2,2001,1351.4
2001-03-30,3,2001,1148.2
2001-04-30,4,2001,1125.25
2001-05-31,5,2001,1167.9
2001-06-29,6,2001,1107.9
2001-07-31,7,2001,1072.85
2001-08-31,8,2001,1053.75
2001-09-28,9,2001,913.85
2001-10-31,10,2001,971.9
2001-11-29,11,2001,1067.15
2001-12-31,12,2001,1059.05
2002-01-31,1,2002,1075.4
2002-02-28,2,2002,1142.05
2002-03-28,3,2002,1129.55
2002-04-30,4,2002,1084.5
2002-05-31,5,2002,1028.8
2002-06-28,6,2002,1057.8
2002-07-31,7,2002,958.9
2002-08-30,8,2002,1010.6
2002-09-30,9,2002,963.15
2002-10-31,10,2002,951.4
2002-11-29,11,2002,1050.15
2002-12-31,12,2002,1093.5
2003-01-31,1,2003,1041.85
2003-02-28,2,2003,1063.4
2003-03-31,3,2003,978.2
2003-04-30,4,2003,934.05
2003-05-30,5,2003,1006.8
2003-06-30,6,2003,1134.15
2003-07-31,7,2003,1185.85
2003-08-29,8,2003,1356.55
2003-09-30,9,2003,1417.1
2003-10-31,10,2003,1555.9
2003-11-28,11,2003,1615.25
2003-12-31,12,2003,1879.75
2004-01-30,1,2004,1809.75
2004-02-27,2,2004,1800.3
2004-03-31,3,2004,1771.9
2004-04-30,4,2004,1796.1
2004-05-31,5,2004,1483.6
2004-06-30,6,2004,1505.6
2004-07-30,7,2004,1632.3
2004-08-31,8,2004,1631.75
2004-09-30,9,2004,1745.5
2004-10-29,10,2004,1786.9
2004-11-30,11,2004,1958.8
2004-12-31,12,2004,2080.5
2005-01-31,1,2005,2057.6
2005-02-28,2,2005,2103.25
2005-03-31,3,2005,2035.65
2005-04-29,4,2005,1902.5
2005-05-31,5,2005,2087.55
2005-06-30,6,2005,2220.6
2005-07-29,7,2005,2312.3
2005-08-31,8,2005,2384.65
2005-09-30,9,2005,2601.4
2005-10-31,10,2005,2370.95
2005-11-30,11,2005,2652.25
2005-12-30,12,2005,2836.55
2006-01-31,1,2006,3001.1
2006-02-28,2,2006,3074.7
2006-03-31,3,2006,3402.55
2006-04-29,4,2006,3557.6
2006-05-31,5,2006,3071.05
2006-06-30,6,2006,3128.2
2006-07-31,7,2006,3143.2
2006-08-31,8,2006,3413.9
2006-09-29,9,2006,3588.4
2006-10-31,10,2006,3744.1
2006-11-30,11,2006,3954.5
2006-12-29,12,2006,3966.4
2007-01-31,1,2007,4082.7
2007-02-28,2,2007,3745.3
2007-03-30,3,2007,3821.55
2007-04-30,4,2007,4087.9
2007-05-31,5,2007,4295.8
2007-06-29,6,2007,4318.3
2007-07-31,7,2007,4528.85
2007-08-31,8,2007,4464
2007-09-28,9,2007,5021.35
2007-10-31,10,2007,5900.65
2007-11-30,11,2007,5762.75
2007-12-31,12,2007,6138.6
2008-01-31,1,2008,5137.45
2008-02-29,2,2008,5223.5
2008-03-31,3,2008,4734.5
2008-04-30,4,2008,5165.9
2008-05-30,5,2008,4870.1
2008-06-30,6,2008,4040.55
2008-07-31,7,2008,4332.95
2008-08-29,8,2008,4360
2008-09-30,9,2008,3921.2
2008-10-31,10,2008,2885.6
2008-11-28,11,2008,2755.1
2008-12-31,12,2008,2959.15
2009-01-30,1,2009,2874.8
2009-02-27,2,2009,2763.65
2009-03-31,3,2009,3020.95
2009-04-29,4,2009,3473.95
2009-05-29,5,2009,4448.95
2009-06-30,6,2009,4291.1
2009-07-31,7,2009,4636.45
2009-08-31,8,2009,4662.1
2009-09-30,9,2009,5083.95
2009-10-30,10,2009,4711.7
2009-11-30,11,2009,5032.7
2009-12-31,12,2009,5201.05
2010-01-29,1,2010,4882.05
2010-02-26,2,2010,4922.3
2010-03-31,3,2010,5249.1
2010-04-30,4,2010,5278
2010-05-31,5,2010,5086.3
2010-06-30,6,2010,5312.5
2010-07-30,7,2010,5367.6
2010-08-31,8,2010,5402.4
2010-09-30,9,2010,6029.95
2010-10-29,10,2010,6017.7
2010-11-30,11,2010,5862.7
2010-12-31,12,2010,6134.5
2011-01-31,1,2011,5505.9
2011-02-28,2,2011,5333.25
2011-03-31,3,2011,5833.75
2011-04-29,4,2011,5749.5
2011-05-31,5,2011,5560.15
2011-06-30,6,2011,5647.4
2011-07-29,7,2011,5482
2011-08-30,8,2011,5001
2011-09-30,9,2011,4943.25
2011-10-31,10,2011,5326.6
2011-11-30,11,2011,4832.05
2011-12-30,12,2011,4624.3
2012-01-31,1,2012,5199.25
2012-02-29,2,2012,5385.2
2012-03-30,3,2012,5295.55
2012-04-30,4,2012,5248.15
2012-05-31,5,2012,4924.25
2012-06-29,6,2012,5278.9
2012-07-31,7,2012,5229
2012-08-31,8,2012,5258.5
2012-09-28,9,2012,5703.3
2012-10-31,10,2012,5619.7
2012-11-30,11,2012,5879.85
2012-12-31,12,2012,5905.1
2013-01-31,1,2013,6034.75
2013-02-28,2,2013,5693.05
2013-03-28,3,2013,5682.55
2013-04-30,4,2013,5930.2
2013-05-31,5,2013,5985.95
2013-06-28,6,2013,5842.2
2013-07-31,7,2013,5742
2013-08-30,8,2013,5471.8
2013-09-30,9,2013,5735.3
2013-10-31,10,2013,6299.15
2013-11-29,11,2013,6176.1
2013-12-31,12,2013,6304
2014-01-31,1,2014,6089.5
2014-02-28,2,2014,6276.95
2014-03-31,3,2014,6704.2
2014-04-30,4,2014,6696.4
2014-05-30,5,2014,7229.95
2014-06-30,6,2014,7611.35
2014-07-31,7,2014,7721.3
2014-08-28,8,2014,7954.35
2014-09-30,9,2014,7964.8
2014-10-31,10,2014,8322.2
2014-11-28,11,2014,8588.25
2014-12-31,12,2014,8282.7
2015-01-30,1,2015,8808.9
2015-02-28,2,2015,8901.85
2015-03-31,3,2015,8491
2015-04-30,4,2015,8181.5
2015-05-29,5,2015,8433.65
2015-06-30,6,2015,8368.5
2015-07-31,7,2015,8532.85
2015-08-31,8,2015,7971.3
2015-09-30,9,2015,7948.9
2015-10-30,10,2015,8065.8
2015-11-30,11,2015,7935.25
2015-12-31,12,2015,7946.35
2016-01-29,1,2016,7563.55
2016-02-29,2,2016,6987.05
2016-03-31,3,2016,7738.4
2016-04-29,4,2016,7849.8
2016-05-31,5,2016,8160.1
2016-06-30,6,2016,8287.75
2016-07-29,7,2016,8638.5
2016-08-31,8,2016,8786.2
2016-09-30,9,2016,8611.15
2016-10-30,10,2016,8625.7
2016-11-30,11,2016,8224.5
2016-12-30,12,2016,8185.8
2017-01-31,1,2017,8561.3
2017-02-28,2,2017,8879.6
2017-03-31,3,2017,9173.75
2017-04-28,4,2017,9304.05
2017-05-31,5,2017,9621.25
2017-06-30,6,2017,9520.9
2017-07-31,7,2017,10077.1
2017-08-31,8,2017,9917.9
2017-09-29,9,2017,9788.6
2017-10-31,10,2017,10335.3
2017-11-30,11,2017,10226.55
2017-12-29,12,2017,10530.7
2018-01-31,1,2018,11027.7
2018-02-28,2,2018,10492.85
2018-03-28,3,2018,10113.7
2018-04-30,4,2018,10739.35
2018-05-31,5,2018,10736.15
2018-06-29,6,2018,10714.3
2018-07-31,7,2018,11356.5
2018-08-31,8,2018,11680.5
2018-09-28,9,2018,10930.45
2018-10-31,10,2018,10386.6
2018-11-30,11,2018,10876.75
2018-12-31,12,2018,10862.55
2019-01-31,1,2019,10830.95
2019-02-28,2,2019,10792.5
2019-03-29,3,2019,11623.9
2019-04-30,4,2019,11748.15
2019-05-31,5,2019,11922.8
2019-06-28,6,2019,11788.85
2019-07-31,7,2019,11118
2019-08-30,8,2019,11023.25
2019-09-30,9,2019,11474.45
2019-10-31,10,2019,11877.45
2019-11-29,11,2019,12056.05
2019-12-31,12,2019,12168.45
2020-01-31,1,2020,11962.1
2020-02-28,2,2020,11201.75
2020-03-31,3,2020,8597.75
2020-04-30,4,2020,9859.9
2020-05-29,5,2020,9580.3
2020-06-30,6,2020,10302.1
2020-07-31,7,2020,11073.45
2020-08-31,8,2020,11387.5
2020-09-30,9,2020,11247.55
2020-10-30,10,2020,11642.4
2020-11-27,11,2020,12968.95
2020-12-31,12,2020,13981.75
2021-01-29,1,2021,13634.6
2021-02-26,2,2021,14529.15
2021-03-31,3,2021,14690.7
2021-04-30,4,2021,14631.1
2021-05-31,5,2021,15582.8
2021-06-30,6,2021,15721.5
2021-07-30,7,2021,15763.05
2021-08-31,8,2021,17132.2
2021-09-30,9,2021,17618.15
2021-10-29,10,2021,17671.65
2021-11-30,11,2021,16983.2
2021-12-31,12,2021,17354.05
2022-01-31,1,2022,17339.85
2022-02-28,2,2022,16793.9
2022-03-31,3,2022,17464.75
2022-04-29,4,2022,17102.55
2022-05-31,5,2022,16584.55
2022-06-30,6,2022,15780.25
2022-07-29,7,2022,17158.25
2022-08-30,8,2022,17759.3
2022-09-30,9,2022,17094.35
2022-10-31,10,2022,18012.2
2022-11-30,11,2022,18758.35
2022-12-30,12,2022,18105.3
2023-01-31,1,2023,17662.15
2023-02-28,2,2023,17303.95
2023-03-31,3,2023,17359.75
2023-04-28,4,2023,18065
2023-05-31,5,2023,18534.4
2023-06-30,6,2023,19189.05
2023-07-31,7,2023,19753.8
2023-08-31,8,2023,19253.8
2023-09-29,9,2023,19638.3
2023-10-31,10,2023,19079.6
2023-11-30,11,2023,20133.15
2023-12-29,12,2023,21731.4
2024-01-31,1,2024,21725.69921875
2024-02-29,2,2024,21982.80078125
2024-03-28,3,2024,22326.900390625
2024-04-30,4,2024,22604.849609375
2024-05-31,5,2024,22530.69921875
2024-06-28,6,2024,24010.599609375
2024-07-31,7,2024,24951.150390625
2024-08-30,8,2024,25235.900390625
2024-09-30,9,2024,25810.849609375
2024-10-31,10,2024,24205.349609375
2024-11-29,11,2024,24131.099609375
2024-12-31,12,2024,23644.80078125
2025-01-31,1,2025,23508.400390625
2025-02-28,2,2025,22124.69921875
2025-03-28,3,2025,23519.349609375
2025-04-30,4,2025,24334.19921875
2025-05-30,5,2025,24750.69921875
2025-06-30,6,2025,25517.05078125
2025-07-31,7,2025,24768.349609375
2025-08-29,8,2025,24426.849609375
2025-09-30,9,2025,24611.099609375
2025-10-31,10,2025,25722.099609375
2025-11-28,11,2025,26202.94921875
2025-12-19,12,2025,25966.400390625
